document_id,label
1,10-1-text-clustering-motivation 
2,11-1-text-categorization-discriminative-classifier-part-1 
3,12-1-opinion-mining-and-sentiment-analysis-latent-aspect-rating-analysis-part-1 
4,7-1-overview-text-mining-and-analytics-part-1 
5,8-1-syntagmatic-relation-discovery-entropy 
6,9-1-probabilistic-topic-models-mixture-of-unigram-language-models 
7,lesson-1-1-natural-language-content-analysis 
8,lesson-2-1-vector-space-model-improved-instantiation 
9,lesson-3-1-evaluation-of-tr-systems 
10,lesson-4-1-probabilistic-retrieval-model-basic-idea 
11,lesson-5-1-feedback-in-text-retrieval 
12,lesson-6-1-learning-to-rank-part-1-optional 
13,10-2-text-clustering-generative-probabilistic-models-part-1-optional 
14,11-2-text-categorization-discriminative-classifier-part-2-optional 
15,12-2-opinion-mining-and-sentiment-analysis-latent-aspect-rating-analysis-part-2 
16,7-2-overview-text-mining-and-analytics-part-2 
17,8-2-syntagmatic-relation-discovery-conditional-entropy 
18,9-2-probabilistic-topic-models-mixture-model-estimation-part-1 
19,lesson-1-2-text-access 
20,lesson-2-2-tf-transformation 
21,lesson-3-2-evaluation-of-tr-systems-basic-measures 
22,lesson-4-2-statistical-language-model 
23,lesson-5-2-feedback-in-vector-space-model-rocchio 
24,lesson-6-2-learning-to-rank-part-2-optional 
25,10-3-text-clustering-generative-probabilistic-models-part-2-optional 
26,11-3-text-categorization-evaluation-part-1 
27,12-3-text-based-prediction 
28,7-3-natural-language-content-analysis-part-1 
29,8-3-syntagmatic-relation-discovery-mutual-information-part-1 
30,9-3-probabilistic-topic-models-mixture-model-estimation-part-2 
31,lesson-1-3-text-retrieval-problem 
32,lesson-2-3-doc-length-normalization 
33,lesson-3-3-evaluation-of-tr-systems-evaluating-ranked-lists-part-1 
34,lesson-4-3-query-likelihood-retrieval-function 
35,lesson-5-3-feedback-in-text-retrieval-feedback-in-lm 
36,lesson-6-3-learning-to-rank-part-3-optional 
37,10-4-text-clustering-generative-probabilistic-models-part-3-optional 
38,11-4-text-categorization-evaluation-part-2 
39,12-4-contextual-text-mining-motivation 
40,7-4-natural-language-content-analysis-part-2 
41,8-4-syntagmatic-relation-discovery-mutual-information-part-2 
42,9-4-probabilistic-topic-models-expectation-maximization-algorithm-part-1 
43,lesson-1-4-overview-of-text-retrieval-methods 
44,lesson-2-4-implementation-of-tr-systems 
45,lesson-3-4-evaluation-of-tr-systems-evaluating-ranked-lists-part-2 
46,lesson-4-4-statistical-language-model-part-1 
47,lesson-5-4-web-search-introduction-web-crawler 
48,lesson-6-4-future-of-web-search 
49,10-5-text-clustering-similarity-based-approaches 
50,11-5-opinion-mining-and-sentiment-analysis-motivation 
51,12-5-contextual-text-mining-contextual-probabilistic-latent-semantic-analysis 
52,7-5-text-representation-part-1 
53,8-5-topic-mining-and-analysis-motivation-and-task-definition 
54,9-5-probabilistic-topic-models-expectation-maximization-algorithm-part-2 
55,lesson-1-5-vector-space-model-basic-idea 
56,lesson-2-5-system-implementation-inverted-index-construction 
57,lesson-3-5-evaluation-of-tr-systems-multi-level-judgements 
58,lesson-4-5-statistical-language-model-part-2 
59,lesson-5-5-web-indexing 
60,lesson-6-5-recommender-systems-content-based-filtering-part-1 
61,10-6-text-clustering-evaluation 
62,11-6-opinion-mining-and-sentiment-analysis-sentiment-classification 
63,12-6-contextual-text-mining-mining-topics-with-social-network-context 
64,7-6-text-representation-part-2 
65,8-6-topic-mining-and-analysis-term-as-topic 
66,9-6-probabilistic-topic-models-expectation-maximization-algorithm-part-3 
67,lesson-1-6-vector-space-retrieval-model-simplest-instantiation 
68,lesson-2-6-system-implementation-fast-search 
69,lesson-3-6-evaluation-of-tr-systems-practical-issues 
70,lesson-4-6-smoothing-methods-part-1 
71,lesson-5-6-link-analysis-part-1 
72,lesson-6-6-recommender-systems-content-based-filtering-part-2 
73,10-7-text-categorization-motivation 
74,11-7-opinion-mining-and-sentiment-analysis-ordinal-logistic-regression-optional 
75,12-7-contextual-text-mining-mining-causal-topics-with-time-series-supervision 
76,7-7-word-association-mining-and-analysis 
77,8-7-topic-mining-and-analysis-probabilistic-topic-models 
78,9-7-probabilistic-latent-semantic-analysis-plsa-part-1 
79,lesson-4-7-smoothing-methods-part-2 
80,lesson-5-7-link-analysis-part-2 
81,lesson-6-7-recommender-systems-collaborative-filtering-part-1 
82,10-8-text-categorization-methods 
83,12-8-summary-for-exam-2 
84,7-8-paradigmatic-relation-discovery-part-1 
85,8-8-probabilistic-topic-models-overview-of-statistical-language-models-part-1 
86,9-8-probabilistic-latent-semantic-analysis-plsa-part-2 
87,lesson-5-8-link-analysis-part-3-optional 
88,lesson-6-8-recommender-systems-collaborative-filtering-part-2 
89,10-9-text-categorization-generative-probabilistic-models 
90,7-9-paradigmatic-relation-discovery-part-2 
91,8-9-probabilistic-topic-models-overview-of-statistical-language-models-part-2 
92,9-9-latent-dirichlet-allocation-lda-part-1 
93,lesson-6-9-recommender-systems-collaborative-filtering-part-3 
94,8-10-probabilistic-topic-models-mining-one-topic 
95,9-10-latent-dirichlet-allocation-lda-part-2 
96,lesson-6-10-summary-for-exam-1 
